index,id,created_at,text,author.id,author.created_at,author.username,author.location,author.public_metrics.followers_count,geo.full_name,public_metrics.like_count,public_metrics.retweet_count,sentiment
247,1082787476060753920,2019-01-08 23:53:46+00:00,"@JGoddard230616 @DailyMailUK Oh suck it up you triggered buffoon, go suck on a Vegan Sausage roll.",292262388,2011-05-03T11:10:49.000Z,Woof1972,,915,,0,0,-0.7003
249,1082787469475512320,2019-01-08 23:53:44+00:00,"@TheAspieWorld I hate the taste of most vegetables and I find soy to be nasty. So that being said, I am not vegan in the slightest.",970513557073752064,2018-03-05T04:17:18.000Z,XachMustel,"San Diego, California",85,,2,0,-0.8074
251,1082787466652856320,2019-01-08 23:53:43+00:00,"Vegan White Lasagna Soup. Goodness. Gracious. #plantbasedeating #plantbasedlove #happyhealthy #eattolive @ Fort Worth, Texas https://t.co/TtA3vwaP7U",1046059788310859777,2018-09-29T15:31:03.000Z,goodtrition,"Fort Worth, TX",15,,0,0,0.8176
255,1082787425246736385,2019-01-08 23:53:34+00:00,Vegan and Cruelty-Free Coupons https://t.co/ZpvKpVtp0M via @peta,773695333,2012-08-22T13:36:23.000Z,NijinskyReina,New York,195,,0,0,0.0
256,1082787423535448064,2019-01-08 23:53:33+00:00,Autism Awareness Elements – Mens T-Shirt https://t.co/QnqxZUDGFp #vegan,939819162058100737,2017-12-10T11:28:44.000Z,CrystineAashir,"French Island, WI",10,,0,0,0.0
258,1082787410147241984,2019-01-08 23:53:30+00:00,I liked a @YouTube video https://t.co/QJRn8CM7lC huge vegan grocery haul!,226316186,2010-12-13T21:44:00.000Z,CloudburstInt,Neverland,359,,0,0,0.6588
261,1082787387787272192,2019-01-08 23:53:25+00:00,@stoneyhanza I hate that place. Idk why people hype it up. You’ll have to come with us and go to hip vegan in Ojai. Harvest is bullshit.,30297879,2009-04-10T19:56:55.000Z,La_Sad_Girl,"Oxnard, CA",374,,0,0,-0.836
273,1082787321089421313,2019-01-08 23:53:09+00:00,@HANA_VEGAN @kacchan_chikin 分かりやすいものをシェアして下さり有難うございます！,1032572772466061313,2018-08-23T10:18:28.000Z,kohakunodarling,チーバくんの鼻下らへん,1425,,0,0,0.0
278,1082787312893710337,2019-01-08 23:53:07+00:00,The Bulletproof Business Planner - Chic Vegan https://t.co/O9glexIZsX https://t.co/ns7uO67Nb5,990954147812986881,2018-04-30T14:00:54.000Z,CRM_Dialer,"Brooklyn, NY",52,,0,1,0.2732
280,1082787304895406080,2019-01-08 23:53:05+00:00,"@nutellaflxke kenn auch so Dudes "" wenn du nich so viele Anime schauen würdest wärst du ja ganz cute"", ""das du vegan lebst turnt echt ab""... ok super das sie selbst feststellen das es nicht passt aber hä? 😅😅😅",851529387019259904,2017-04-10T20:16:41.000Z,xoxoCelica,she/her ,449,,0,0,0.7269
